,Brand,Distributor,LinkofProduct,Name,Price,SKU
48,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-16-inch-macbook-pro.html,Apple 16-inch MacBook Pro,"RM10,499.00","""APP-MBP16-2020-CFG"";"
49,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-13-inch-macbook-pro-with-touch-bar-and-two-thunderbolt-3-ports.html,Apple 13-inch MacBook Pro with Touch Bar and Two Thunderbolt 3 ports,RM489.00,"""APP-MBP13-2020-2USB-CFG"";"
50,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-23-6-inch-optix-g241vc-msi-g241vc.html,MSI 23.6 Inch Optix G241VC MSI-G241VC,RM649.00,"""MSI-G241VC"";"
51,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-14-prestige-14-inch-i5-10210u-512gb-nvme-pcie-ssd-ddr-iv-16gb-2666mhz-mx330-2gb-gddr5-msi-p14-a10ras-223my.html,"MSI 14 Prestige 14 Inch (I5-10210U/512GB NVMe PCIe SSD/DDR IV 16GB 2666MHz/MX330, 2GB GDDR5) MSI-P14-A10RAS-223MY","RM4,299.00","""MSI-P14-A10RAS-223MY"";"
52,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-macbook-air-m1-chip-2020.html,"Apple MacBook Air (M1 chip, 2020)","RM4,399.00","""APP-MACBOOKAIR-M1-2020-CFG"";"
53,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-13-inch-macbook-pro-m1-chip-2020.html,"Apple MacBook Pro (13-inch, M1 chip, 2020)","RM5,599.00","""APP-MACBOOKPRO-M1-2020-CFG"";"
54,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-mpg-artymis-343cqr-34-inch-monitor-msi-mpg343cqr.html,MSI MPG ARTYMIS 343CQR 34 Inch Monitor MSI-MPG343CQR,"RM3,999.00","""MSI-MPG343CQR"";"
55,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-mpg-trident-as-10th-msi-mpgtrident-as60.html,MSI MPG Trident AS 10th MSI-MPGTRIDENT-AS60,"RM7,499.00","""MSI-MPGTRIDENT-AS60"";"
56,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-mpg-trident-as-10th-msi-mpgtrident-as70.html,MSI MPG Trident AS 10th MSI-MPGTRIDENT-AS70,"RM8,999.00","""MSI-MPGTRIDENT-AS70"";"
57,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-optix-g27cq4-27-inch-monitor-msi-g27cq4.html,MSI Optix G27CQ4 27 Inch Monitor MSI-G27CQ4,"RM1,638.00","""MSI-G27CQ4"";"
58,"""ASUS"";","""7158"";",https://www.senheng.com.my/asus-rog-strix-g15-17-15-6-inch-g512li-i5-10300h-8gb-512gb-ssd-gtx1650ti-4g-asu-g512l-ial008t.html,ASUS ROG Strix G15 15.6 Inch G512LI (i5-10300H/8GB/512GB SSD/GTX1650TI 4G) ASU-G512L-IAL008T,"RM4,099.00","""ASU-G512L-IAL008T"";"
59,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-modern-15-15.6-inch-laptop-i7-10510u-512gb-nvme-pcie-gen3x4-ssd-msi-m15-a10rbs-469my.html,MSI Modern 15 15.6-Inch Laptop (I7-10510U/512GB NVMe PCIe Gen3x4 SSD) MSI-M15-A10RBS-469MY,"RM3,899.00","""MSI-M15-A10RBS-469MY"";"
60,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-surface-laptop-3.html,Microsoft Surface Laptop 3,"RM4,039.00","""MS-SUR-LPT3-CFG"";"
61,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ax1800-whole-home-mesh-wi-fi-6-system-deco-x20-2-pack.html,TP-Link AX1800 Whole Home Mesh Wi-Fi 6 System Deco X20(2-pack),RM799.00,"""TP-DECOX20.2PK"";"
62,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac750-wireless-dual-band-4g-lte-router-archer-mr200.html,TP-Link AC750 Wireless Dual Band 4G LTE Router Archer MR200,RM389.00,"""TP-ARCHERMR200"";"
63,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-magic-keyboard-for-ipad-air-4th-generation-and-ipad-pro-11-inch-2nd-generation.html,Apple Magic Keyboard for iPad Air (4th generation) and iPad Pro 11-inch (2nd generation),"RM1,349.00","""APP-MXQT2ZA/A"";"
64,"""HP"";","""7158"";",https://www.senheng.com.my/hp-envy-laptop-15-ep0010tx.html,HP ENVY Laptop - 15-ep0010tx,"RM6,999.00","""HP-15EP0010TX"";"
65,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-32-inch-optix-mag322cqr.html,MSI 32 Inch Optix MAG322CQR Curved Gaming Monitor,"RM2,249.00","""MSI-MAG322CQR"";"
